LOC105328438	XM_011429342
LOC105335112	XR_901262
LOC105317397	XM_011414217
LOC105326796	XM_011426978
LOC105327391	XM_011427838
LOC105328290	XM_011429142
LOC105328380	XM_011429237
LOC105330403	XM_011432116
LOC105331139	XM_011433223
LOC105331446	XM_011433639
LOC105331674	XM_011433988
LOC105332083	XM_011434525
LOC105336689	XM_011441123
LOC105337659	XM_011442503
LOC105337995	XR_901731
LOC105338045	XM_011443016
LOC105338579	XM_011443766
LOC105339386	XM_011444913
LOC105339940	XM_011445726
LOC105341654	XM_011448286
LOC105341723	XM_011448403
LOC105341865	XM_011448638
LOC105341865	XR_902417
LOC105342835	XM_011449898
LOC105343819	XM_011451315
LOC105345313	XR_903039
LOC105345281	XM_011453386
LOC105345550	XM_011453736
LOC105345989	XM_011454409
LOC105346578	XM_011455219
LOC105346578	XM_011455226
LOC105347043	XM_011455924
LOC105348579	XM_011458087
LOC105348289	XM_011457677
LOC105349070	XM_011458749
LOC105317098	XM_011413636
LOC105317409	XM_011414057
LOC105317439	XM_011414082
LOC105318038	XM_011414906
LOC105318134	XM_011415074
LOC105323542	XM_011422608
LOC105323667	XM_011422737
LOC105324771	XM_011423951
LOC105324933	XM_011424200
LOC105326056	XM_011425891
LOC105326209	XM_011426092
LOC105326266	XM_011426191
LOC105326781	XM_011426958
LOC105326790	XM_011426966
LOC105326883	XM_011427107
LOC105327120	XM_011427429
LOC105327130	XM_011427441
LOC105327291	XM_011427659
LOC105327328	XM_011427731
LOC105327330	XM_011427739
LOC105327381	XM_011427819
LOC105327454	XM_011427944
LOC105327541	XM_011428093
LOC105327635	XM_011428222
LOC105327700	XM_011428309
LOC105327697	XM_011428304
LOC105327752	XM_011428372
LOC105327752	XM_011428370
LOC105327745	XM_011428360
LOC105328152	XM_011428920
LOC105328682	XM_011429662
LOC105328795	XM_011429808
LOC105328926	XM_011429971
LOC105329008	XM_011430108
LOC105329129	XR_900296
LOC105329152	XM_011430336
LOC105329159	XM_011430341
LOC105329326	XM_011430521
LOC105329377	XM_011430599
LOC105329403	XR_900335
LOC105329407	XM_011430651
LOC105329439	XM_011430689
LOC105329473	XM_011430746
LOC105329541	XM_011430825
LOC105329588	XM_011430879
LOC105329606	XM_011430912
LOC105329610	XM_011430921
LOC105329610	XM_011430922
LOC105330006	XM_011431548
LOC105330104	XM_011431687
LOC105330257	XM_011431862
LOC105330258	XM_011431867
LOC105330625	XM_011432465
LOC105330729	XM_011432624
LOC105330731	XM_011432626
LOC105330918	XM_011432859
LOC105331016	XM_011433004
LOC105331115	XM_011433170
LOC105331237	XM_011433350
LOC105331237	XM_011433349
LOC105331281	XM_011433399
LOC105331320	XM_011433456
LOC105331323	XM_011433458
LOC105331358	XM_011433499
LOC105331447	XM_011433637
LOC105331501	XM_011433722
LOC105331511	XM_011433738
LOC105331536	XM_011433770
LOC105331653	XM_011433933
LOC105331664	XM_011433946
LOC105331672	XM_011433965
LOC105331764	XM_011434087
LOC105331832	XM_011434193
LOC105331885	XM_011434256
LOC105332050	XM_011434486
LOC105332133	XM_011434585
LOC105332144	XM_011434597
LOC105332389	XM_011434979
LOC105332783	XM_011435492
LOC105332808	XM_011435523
LOC105332889	XM_011435619
LOC105332908	XM_011435649
LOC105333448	XM_011436435
LOC105333633	XM_011436698
LOC105333834	XM_011437039
LOC105333928	XM_011437163
LOC105333984	XM_011437235
LOC105334026	XM_011437304
LOC105334036	XR_901056
LOC105334038	XM_011437328
LOC105334234	XM_011437603
LOC105334266	XR_901089
LOC105334268	XR_901090
LOC105334355	XM_011437761
LOC105334447	XM_011437889
LOC105334462	XM_011437915
LOC105334510	XM_011437990
LOC105334580	XM_011438102
LOC105334682	XM_011438231
LOC105334681	XM_011438225
LOC105334815	XM_011438395
LOC105335034	XR_901232
LOC105335043	XM_011438703
LOC105335095	XM_011438790
LOC105335098	XM_011438796
LOC105335109	XM_011438843
LOC105335150	XM_011438912
LOC105335199	XM_011438994
LOC105335213	XM_011439011
LOC105335325	XM_011439149
LOC105335437	XM_011439287
LOC105335442	XM_011439293
LOC105335575	XM_011439526
LOC105335667	XM_011439675
LOC105335838	XM_011439952
LOC105335842	XM_011439958
LOC105336191	XM_011440416
LOC105336674	XM_011441098
LOC105336772	XM_011441211
LOC105336942	XM_011441450
LOC105337076	XM_011441648
LOC105337494	XM_011442222
LOC105337665	XM_011442502
LOC105337723	XR_901691
LOC105337740	XM_011442607
LOC105337800	XM_011442705
LOC105337933	XM_011442875
LOC105337970	XM_011442923
LOC105338186	XM_011443183
LOC105338321	XM_011443379
LOC105338357	XM_011443439
LOC105338501	XM_011443661
LOC105338592	XM_011443784
LOC105338718	XM_011443946
LOC105338736	XR_901856
LOC105338781	XM_011444041
LOC105338842	XM_011444125
LOC105338858	XR_901867
LOC105339024	XM_011444424
LOC105339209	XR_901924
LOC105339268	XR_901931
LOC105339269	XM_011444735
LOC105339340	XM_011444834
LOC105339358	XM_011444878
LOC105339524	XM_011445098
LOC105339552	XM_011445130
LOC105339678	XM_011445335
LOC105339755	XM_011445465
LOC105339796	XM_011445521
LOC105339801	XM_011445528
LOC105340067	XM_011445904
LOC105340172	XM_011446088
LOC105340408	XM_011446434
LOC105340438	XM_011446477
LOC105340527	XM_011446640
LOC105340527	XM_011446635
LOC105340527	XM_011446639
LOC105340537	XM_011446648
LOC105340790	XM_011447009
LOC105340973	XM_011447239
LOC105341026	XM_011447306
LOC105341085	XM_011447388
LOC105341513	XM_011448075
LOC105341618	XM_011448210
LOC105341632	XM_011448254
LOC105341773	XM_011448478
LOC105341777	XM_011448482
LOC105342062	XM_011448858
LOC105342366	XM_011449288
LOC105342376	XM_011449301
LOC105342542	XM_011449521
LOC105342593	XM_011449594
LOC105342662	XM_011449653
LOC105343056	XM_011450217
LOC105343216	XM_011450479
LOC105343300	XM_011450610
LOC105343394	XM_011450756
LOC105343480	XM_011450876
LOC105343533	XM_011450926
LOC105343608	XM_011451029
LOC105343617	XM_011451038
LOC105343818	XM_011451313
LOC105343964	XM_011451503
LOC105343977	XM_011451520
LOC105343977	XM_011451519
LOC105343979	XR_902804
LOC105344023	XM_011451598
LOC105344098	XM_011451729
LOC105344487	XM_011452266
LOC105344501	XM_011452283
LOC105344569	XM_011452357
LOC105344587	XM_011452382
LOC105344645	XM_011452470
LOC105344988	XM_011452942
LOC105345067	XR_902993
LOC105345215	XM_011453291
LOC105345474	XM_011453603
LOC105345478	XM_011453605
LOC105345532	XM_011453714
LOC105345779	XM_011454070
LOC105345812	XM_011454129
LOC105345814	XM_011454131
LOC105345856	XM_011454178
LOC105346274	XM_011454782
LOC105346425	XR_903217
LOC105346547	XM_011455172
LOC105346580	XM_011455218
LOC105346688	XM_011455389
LOC105346710	XM_011455418
LOC105346816	XM_011455539
LOC105346819	XM_011455541
LOC105346832	XM_011455552
LOC105346991	XM_011455832
LOC105347090	XM_011455987
LOC105347166	XM_011456102
LOC105347167	XM_011456107
LOC105347305	XM_011456315
LOC105347306	XM_011456316
LOC105347317	XM_011456344
LOC105347338	XM_011456368
LOC105347404	XM_011456474
LOC105347390	XM_011456460
LOC105347415	XM_011456495
LOC105347533	XR_903394
LOC105347567	XM_011456712
LOC105348180	XM_011457508
LOC105348211	XM_011457539
LOC105348277	XM_011457621
LOC105348277	XM_011457631
LOC105348304	XM_011457656
LOC105348305	XM_011457657
LOC105348353	XM_011457732
LOC105348543	XM_011458018
LOC105348647	XM_011458178
LOC105349020	XM_011458667
LOC105349029	XR_903704
LOC105349134	XM_011458830
LOC105349135	XM_011458831
LOC105349183	XR_903734
LOC105349197	XM_011458891
LOC105317044	XM_011413571
LOC105317209	XM_011413769
LOC105317220	XM_011413801
LOC105317316	XM_011413926
LOC105317472	XM_011414116
LOC105317472	XM_011414118
LOC105317791	XM_011414519
LOC105317808	XM_011414536
LOC105318222	XR_898454
LOC105318395	XM_011415503
LOC105318445	XM_011415579
LOC105318445	XM_011415578
LOC105318461	XM_011415604
LOC105318487	XR_898505
LOC105318655	XR_898537
LOC105318805	XM_011416089
LOC105318866	XM_011416164
LOC105318877	XR_898562
LOC105318886	XM_011416198
LOC105318885	XM_011416197
LOC105319345	XM_011416847
LOC105319362	XM_011416871
LOC105319506	XM_011417070
LOC105319804	XM_011417491
LOC105319860	XM_011417566
LOC105319894	XM_011417618
LOC105319955	XM_011417694
LOC105320091	XM_011417875
LOC105320131	XM_011417936
LOC105320187	XM_011418018
LOC105320204	XM_011418053
LOC105320273	XM_011418144
LOC105320347	XR_898778
LOC105320409	XM_011418340
LOC105320593	XM_011418586
LOC105320774	XM_011418833
LOC105320834	XM_011418940
LOC105321013	XM_011419172
LOC105321018	XM_011419182
LOC105321034	XM_011419215
LOC105321237	XM_011419498
LOC105321376	XM_011419645
LOC105321692	XM_011420097
LOC105321822	XM_011420278
LOC105321830	XM_011420289
LOC105321899	XM_011420386
LOC105322078	XM_011420602
LOC105322124	XM_011420664
LOC105322176	XM_011420731
LOC105322187	XM_011420748
LOC105322197	XM_011420771
LOC105322213	XM_011420793
LOC105322272	XM_011420914
LOC105322272	XM_011420915
LOC105322485	XR_899132
LOC105322484	XM_011421223
LOC105322519	XM_011421277
LOC105322546	XM_011421314
LOC105322650	XM_011421492
LOC105322650	XM_011421487
LOC105322650	XM_011421493
LOC105322752	XM_011421618
LOC105322898	XM_011421803
LOC105322968	XM_011421881
LOC105323038	XM_011421978
LOC105323055	XR_899232
LOC105323090	XM_011422054
LOC105323151	XM_011422127
LOC105323189	XM_011422187
LOC105323195	XM_011422192
LOC105323251	XM_011422299
LOC105323262	XM_011422331
LOC105323261	XM_011422329
LOC105323263	XM_011422332
LOC105323263	XR_899260
LOC105323271	XM_011422342
LOC105323403	XR_899295
LOC105323642	XM_011422713
LOC105323721	XM_011422797
LOC105323946	XM_011423014
LOC105324192	XM_011423241
LOC105324528	XM_011423626
LOC105324542	XM_011423648
LOC105324589	XR_899593
LOC105324590	XR_899594
LOC105324621	XM_011423744
LOC105324630	XM_011423753
LOC105324848	XR_899633
LOC105324916	XM_011424166
LOC105325097	XM_011424481
LOC105325122	XM_011424517
LOC105325155	XM_011424581
LOC105325257	XM_011424728
LOC105325343	XM_011424858
LOC105325348	XM_011424868
LOC105325572	XM_011425200
